t,theta_rad,omega_sc,omega_rw,T_dist,T_applied,T_des,yaw_err_deg
53.0,0.6276350855231309,-0.03987778270549515,7.975549644186941,-1.4507574340958865e-09,-5e-05,-5e-05,-5.960841474807874
53.02,0.6268365298277385,-0.03992778476961842,7.985549644186941,-2.064123272612756e-09,-5e-05,-5e-05,-5.915087603755759
53.04,0.6260369740763948,-0.03997778756718477,7.995549644186941,-2.7975663559287074e-09,-5e-05,-5e-05,-5.869276433718353
53.06,0.6252364183662339,-0.04002778550804677,8.00554964418694,2.0591380067814187e-09,-5e-05,-5e-05,-5.823407970261035
53.08,0.6244348627031595,-0.040077783153721146,8.01554964418694,2.3543256247409828e-09,-5e-05,-5e-05,-5.777482213722062
53.1,0.6236323070487455,-0.040127782720700375,8.02554964418694,4.3302077394929307e-10,-5e-05,-5e-05,-5.731499161899779
53.120000000000005,0.6228287514350073,-0.0401777806869136,8.03554964418694,2.033786776965053e-09,-5e-05,-5e-05,-5.685458816628534
53.14,0.6220241957915745,-0.040227782171636486,8.04554964418694,-1.484722890919543e-09,-5e-05,-5e-05,-5.639361173876406
53.160000000000004,0.6212186402105463,-0.04027777905141277,8.05554964418694,3.1202237161204884e-09,-5e-05,-5e-05,-5.593206238920279
53.18,0.6204120846322506,-0.04032777891478365,8.06554964418694,1.366291178073729e-10,-5e-05,-5e-05,-5.546994008341203
53.2,0.6196045291304183,-0.04037777509161734,8.075549644186939,3.8231663115002794e-09,-5e-05,-5e-05,-5.500724486363643
53.22,0.6187959735718278,-0.04042777792952549,8.085549644186939,-2.8379081469984304e-09,-5e-05,-5e-05,-5.4543976653545645
53.24,0.6179864180162359,-0.04047777777959655,8.095549644186939,1.499289411136688e-10,-5e-05,-5e-05,-5.408013548737778
53.26,0.6171758624736261,-0.04052777713048745,8.105549644186938,6.49109098225569e-10,-5e-05,-5e-05,-5.361572137085302
53.28,0.6163643070040759,-0.04057777347751495,8.115549644186938,3.6529724975435193e-09,-5e-05,-5e-05,-5.315073433839315
53.300000000000004,0.615551751550424,-0.04062777268259381,8.125549644186938,7.94921143083107e-10,-5e-05,-5e-05,-5.268517435724724
53.32,0.614738196124455,-0.04067777129844786,8.135549644186938,1.3841459478406437e-09,-5e-05,-5e-05,-5.221904143416735
53.34,0.6139236406843497,-0.04072777200526731,8.145549644186937,-7.068194491551143e-10,-5e-05,-5e-05,-5.175233554519278
53.36,0.6131080852302444,-0.04077777270526394,8.155549644186937,-6.99996634900671e-10,-5e-05,-5e-05,-5.1285056690401705
53.38,0.6122915297528257,-0.04082777387093392,8.165549644186937,-1.165669980493039e-09,-5e-05,-5e-05,-5.081720486445791
53.4,0.6114739743494392,-0.0408777701693288,8.175549644186937,3.701605121311971e-09,-5e-05,-5e-05,-5.034878012313625
53.42,0.6106554189234195,-0.04092777130098728,8.185549644186937,-1.1316584795580395e-09,-5e-05,-5e-05,-4.9879782411051625
53.44,0.6098358635913743,-0.0409777666022565,8.195549644186936,4.698730777297282e-09,-5e-05,-5e-05,-4.941021179501533
53.46,0.6090153082756984,-0.0410277657837984,8.205549644186936,8.184580991274943e-10,-5e-05,-5e-05,-4.894006823056277
53.480000000000004,0.6081937529425959,-0.041077766655120446,8.215549644186936,-8.713220441726262e-10,-5e-05,-5e-05,-4.846935169833041
53.5,0.6073711975788227,-0.041127768188659625,8.225549644186936,-1.533539181012989e-09,-5e-05,-5e-05,-4.79980621907299
53.52,0.6065476422680033,-0.04117776554097552,8.235549644186936,2.6476841057343396e-09,-5e-05,-5e-05,-4.75261997556745
53.54,0.6057230869324413,-0.0412277667781026,8.245549644186935,-1.2371270860007442e-09,-5e-05,-5e-05,-4.705376434864753
53.56,0.6048975315806983,-0.041277767587147955,8.255549644186935,-8.090453553716469e-10,-5e-05,-5e-05,-4.658075597455441
53.58,0.6040709762038994,-0.0413277688399463,8.265549644186935,-1.2527983478641745e-09,-5e-05,-5e-05,-4.61071746283102
53.6,0.6032434208196722,-0.041377769211357725,8.275549644186935,-3.7141142303167757e-10,-5e-05,-5e-05,-4.5633020320014746
53.620000000000005,0.602414865397652,-0.04142777110100992,8.285549644186935,-1.8896521906630333e-09,-5e-05,-5e-05,-4.5158293032270365
53.64,0.6015853099693604,-0.04147777141457991,8.295549644186934,-3.1356998764918604e-10,-5e-05,-5e-05,-4.468299278313763
53.660000000000004,0.6007547546394219,-0.041527766496929845,8.305549644186934,4.917650063227526e-09,-5e-05,-5e-05,-4.420711963256187
53.68,0.599923199370607,-0.04157776344074458,8.315549644186934,3.0561852615357943e-09,-5e-05,-5e-05,-4.373067355921229
